Treatment_display,genus,N_Samples_Present,Total_Samples,Percent_Present,Mean_Abundance
ASx lysate,Bartonella,12,9,133.33333333333331,0.027018562540300866
ASx lysate,Frischella,1,9,11.11111111111111,0.00424671595460461
ASx lysate,Gilliamella,9,9,100,0.06649323658577702
ASx lysate,Lactobacillus,9,9,100,0.5934747678072603
ASx lysate,Snodgrassella,9,9,100,0.050584204335741005
Comb,Bartonella,6,3,200,0.11317185327400682
Comb,Frischella,0,3,0,NA
Comb,Gilliamella,3,3,100,0.07311863198476738
Comb,Lactobacillus,3,3,100,0.29835545497439897
Comb,Snodgrassella,3,3,100,0.011137923519631542
Control,Bartonella,14,8,175,0.10985938029373146
Control,Frischella,5,8,62.5,0.013561850698234712
Control,Gilliamella,8,8,100,0.1329873257396262
Control,Lactobacillus,8,8,100,0.491018299070645
Control,Snodgrassella,8,8,100,0.0626895507645379
Hive Reared,Bartonella,2,3,66.66666666666666,0.006126326910896191
Hive Reared,Frischella,2,3,66.66666666666666,0.011943465232522148
Hive Reared,Gilliamella,3,3,100,0.10249920234877344
Hive Reared,Lactobacillus,3,3,100,0.8578199712493614
Hive Reared,Snodgrassella,3,3,100,0.020738756120273462
NEWs,Bartonella,0,3,0,NA
NEWs,Frischella,3,3,100,0.028666771912344995
NEWs,Gilliamella,3,3,100,0.3563198626175398
NEWs,Lactobacillus,3,3,100,0.5675753338019985
NEWs,Snodgrassella,3,3,100,0.007002211820070038
Terra-Pro,Bartonella,18,9,200,0.07879415108942875
Terra-Pro,Frischella,4,9,44.44444444444444,0.007233059400189628
Terra-Pro,Gilliamella,9,9,100,0.05484587905384605
Terra-Pro,Lactobacillus,9,9,100,0.620844944663409
Terra-Pro,Snodgrassella,9,9,100,0.03729745408059787
Tetracycline,Bartonella,17,9,188.88888888888889,0.056354607584910885
Tetracycline,Frischella,5,9,55.55555555555556,0.004675247587519624
Tetracycline,Gilliamella,9,9,100,0.04032872267745838
Tetracycline,Lactobacillus,9,9,100,0.6666378271660016
Tetracycline,Snodgrassella,9,9,100,0.06873610543343034
