Comparison,species,genus,In_Top_20,log2FoldChange,padj
Control_vs_ASx_lysate,Lelliottia sp. WB101,Lelliottia,TRUE,24.74016583008623,1.5780074185415968e-7
Control_vs_Terra-Pro,Lelliottia sp. WB101,Lelliottia,TRUE,24.262062824955734,3.1199642776911306e-7
Control_vs_Terra-Pro,Tatumella ptyseos,Tatumella,TRUE,8.019485490367169,0.0010556846397144926
Control_vs_Terra-Pro,Lonsdalea quercina,Lonsdalea,FALSE,22.445497692553154,1.865655027707325e-6
Control_vs_Terra-Pro,Commensalibacter_sp.,Commensalibacter,FALSE,-8.089872016275628,0.003771798493472241
Control_vs_Tetracycline,Lactobacillus bombicola,Lactobacillus,TRUE,22.919029577018556,1.2210884831236286e-12
Control_vs_Tetracycline,Lelliottia sp. WB101,Lelliottia,TRUE,24.274359326917974,1.3031463900181937e-7
Control_vs_Tetracycline,Fructobacillus fructosus,Fructobacillus,TRUE,7.29186736495028,1.0835329298955545e-4
Control_vs_Tetracycline,Tatumella ptyseos,Tatumella,TRUE,8.070477797296636,4.846964727334244e-4
Control_vs_Tetracycline,Lactobacillus kullabergensis,Lactobacillus,TRUE,-2.0377179662612424,0.01289689720522895
Control_vs_Tetracycline,Lactobacillus apis,Lactobacillus,TRUE,-1.1301922453725586,0.01289689720522895
Control_vs_Tetracycline,Lonsdalea quercina,Lonsdalea,FALSE,22.43524183334863,1.0715228941278351e-6
Control_vs_Tetracycline,Commensalibacter_sp.,Commensalibacter,FALSE,-7.240463552198344,0.008321682575489906
Control_vs_Tetracycline,Pantoea agglomerans,Pantoea,FALSE,6.244052208139589,0.01803307792469677
